Variable,Importance
grain_moisture,0.10919221585864315
srad_mean,0.07681186732873412
heat_stress_days,0.07560550764632665
gdd_season,0.07344689695542324
tmax_mean,0.05944473860674911
longitude,0.054730052874360155
latitude,0.04902374393298014
doy_planted,0.044609970790689575
year,0.04229258474824601
vp_mean,0.03969715642611178
season_length,0.03951460639550282
year_factor,0.03870702410102223
tmin_mean,0.032753584125107225
prcp_total_mm,0.030625549798077044
doy_harvested,0.026344149361583757
om_pct,0.025963779092283354
soilp_ppm,0.023749298094766738
site_SCH1,0.022845029708892475
soilk_ppm,0.021361246425773778
soilp_h,0.018837204576339295
block,0.0176902115881719
elevation,0.010705987159058808
site_GAH2,0.010135941644970456
site_DEH1,0.008991850961250901
replicate,0.006458678866908232
previous_crop_unknown,0.004615850346436784
site_MOH1,0.0030962189207252785
previous_crop_wheat,0.0029771979505788435
site_ONH2,0.0028038261739884687
site_ARH2,0.002273445172023136
site_IAH3,0.0022576454447377097
site_TXH3,0.0017458651350780098
site_ILH1,0.001743100945509371
hybrid_other,0.001471597483006302
previous_crop_sorghum,0.0012798459033177812
site_IAH4,0.0012472600152518228
site_MNH1,0.0012467035352676503
site_NYH2,0.0010726589216373391
site_NEH4,0.0010266064781022965
site_TXH1.Early,0.0010056662285321389
site_MIH1,9.991976512745558e-4
previous_crop_soybean,9.463761596702468e-4
site_NYH1,8.559827500865447e-4
site_NEH3,7.940720459910722e-4
site_WIH1,7.888939205114905e-4
site_MOH2,7.477019264089663e-4
site_IAH2,6.671889927703353e-4
site_INH1,6.622690640704902e-4
site_NEH1,5.543509101998513e-4
site_WIH2,4.367275845865499e-4
site_IAH1,4.2433541033637655e-4
site_ONH1,3.6029915017726284e-4
site_KSH1,2.7092549075580187e-4
previous_crop_peanut,2.4131437901832366e-4
site_WIH3,2.3846230085039946e-4
site_IAH1b,2.3348122261553206e-4
previous_crop_cotton,1.9846638101049877e-4
site_IAH1a,1.525785105774475e-4
site_NEH2,1.4477839000032064e-4
site_TXH1.Late,1.2896867067097948e-4
site_NYH3,9.754565844954921e-5
site_OHH1,8.945340361808787e-5
site_TXH1,8.267025435075256e-5
site_TXH2,8.182755256426617e-5
site_GAH1,8.061584725661338e-5
site_IAH1c,7.352452620883789e-5
site_NCH1,6.789009985400667e-5
previous_crop_rye,5.126231518669215e-5
previous_crop_fallow,3.9988455369224794e-5
site_TXH1.Dry,3.6460380694815624e-5
site_NYS1,3.24596793870152e-5
site_SDH1,9.12697735462392e-6
previous_crop_sugar.beet,7.093402415650831e-6
site_COH1,1.3448135409578418e-6
